indicator,parentlocation,location,period,dim1,factvaluenumeric
Estimated number of people (all ages) living with HIV,Eastern Mediterranean,Sudan,2023,,48000
Estimated number of people (all ages) living with HIV,Americas,Ecuador,2023,,51000
Estimated number of people (all ages) living with HIV,Africa,Gabon,2023,,51000
Estimated number of people (all ages) living with HIV,Africa,Democratic Republic of the Congo,2023,,520000
Estimated number of people (all ages) living with HIV,South-East Asia,Indonesia,2023,,570000
Estimated number of people (all ages) living with HIV,South-East Asia,Thailand,2023,,580000
Estimated number of people (all ages) living with HIV,Africa,Ethiopia,2023,,610000
Estimated number of people (all ages) living with HIV,Europe,Uzbekistan,2023,,62000
Estimated number of people (all ages) living with HIV,Eastern Mediterranean,Jordan,2023,,620
Estimated number of people (all ages) living with HIV,Europe,Bosnia and Herzegovina,2023,,630
Estimated number of people (all ages) living with HIV,Europe,Armenia,2023,,6300
Estimated number of people (all ages) living with HIV,Africa,Mauritania,2023,,6400
Estimated number of people (all ages) living with HIV,Europe,Denmark,2023,,6400
Estimated number of people (all ages) living with HIV,Europe,North Macedonia,2023,,650
Estimated number of people (all ages) living with HIV,Western Pacific,Mongolia,2023,,670
Estimated number of people (all ages) living with HIV,Eastern Mediterranean,Libya,2023,,6700
Estimated number of people (all ages) living with HIV,Africa,Benin,2023,,68000
Estimated number of people (all ages) living with HIV,Europe,Latvia,2023,,6800
Estimated number of people (all ages) living with HIV,Africa,South Africa,2023,,7700000
Estimated number of people (all ages) living with HIV,Eastern Mediterranean,Djibouti,2023,,7300
Estimated number of people (all ages) living with HIV,Europe,Estonia,2023,,7300
Estimated number of people (all ages) living with HIV,Eastern Mediterranean,Syrian Arab Republic,2023,,740
Estimated number of people (all ages) living with HIV,Americas,Suriname,2023,,7400
Estimated number of people (all ages) living with HIV,Africa,Madagascar,2023,,76000
Estimated number of people (all ages) living with HIV,Western Pacific,Cambodia,2023,,76000
Estimated number of people (all ages) living with HIV,Africa,Sierra Leone,2023,,77000
Estimated number of people (all ages) living with HIV,Western Pacific,Papua New Guinea,2023,,77000
Estimated number of people (all ages) living with HIV,Eastern Mediterranean,Tunisia,2023,,8000
Estimated number of people (all ages) living with HIV,Africa,Burundi,2023,,81000
Estimated number of people (all ages) living with HIV,Western Pacific,Singapore,2023,,8100
Estimated number of people (all ages) living with HIV,Eastern Mediterranean,Qatar,2023,,820
Estimated number of people (all ages) living with HIV,Eastern Mediterranean,Somalia,2023,,8200
Estimated number of people (all ages) living with HIV,Americas,Dominican Republic,2023,,84000
Estimated number of people (all ages) living with HIV,Western Pacific,Malaysia,2023,,85000
Estimated number of people (all ages) living with HIV,Europe,Ireland,2023,,8600
Estimated number of people (all ages) living with HIV,Europe,Georgia,2023,,9000
Estimated number of people (all ages) living with HIV,Americas,Chile,2023,,91000
Estimated number of people (all ages) living with HIV,Europe,Malta,2023,,920
Estimated number of people (all ages) living with HIV,Europe,Slovenia,2023,,940
Estimated number of people (all ages) living with HIV,Africa,Burkina Faso,2023,,95000
Estimated number of people (all ages) living with HIV,Europe,Israel,2023,,9600
Estimated number of people (all ages) living with HIV,Africa,Malawi,2023,,980000
Estimated number of people (all ages) living with HIV,Europe,Andorra,2023,,
Estimated number of people (all ages) living with HIV,Americas,Antigua and Barbuda,2023,,
Estimated number of people (all ages) living with HIV,Europe,Austria,2023,,
Estimated number of people (all ages) living with HIV,Eastern Mediterranean,Bahrain,2023,,
Estimated number of people (all ages) living with HIV,Europe,Belgium,2023,,
Estimated number of people (all ages) living with HIV,Western Pacific,Brunei Darussalam,2023,,
Estimated number of people (all ages) living with HIV,Africa,Cameroon,2023,,
Estimated number of people (all ages) living with HIV,Americas,Canada,2023,,
Estimated number of people (all ages) living with HIV,Africa,Central African Republic,2023,,
Estimated number of people (all ages) living with HIV,Western Pacific,China,2023,,
Estimated number of people (all ages) living with HIV,Western Pacific,Cook Islands,2023,,
Estimated number of people (all ages) living with HIV,Europe,Cyprus,2023,,
Estimated number of people (all ages) living with HIV,South-East Asia,Democratic People's Republic of Korea,2023,,
Estimated number of people (all ages) living with HIV,Americas,Dominica,2023,,
Estimated number of people (all ages) living with HIV,Africa,Equatorial Guinea,2023,,
Estimated number of people (all ages) living with HIV,Europe,Finland,2023,,
Estimated number of people (all ages) living with HIV,Europe,Germany,2023,,
Estimated number of people (all ages) living with HIV,Americas,Grenada,2023,,
Estimated number of people (all ages) living with HIV,Europe,Hungary,2023,,
Estimated number of people (all ages) living with HIV,Western Pacific,Japan,2023,,
Estimated number of people (all ages) living with HIV,Western Pacific,Kiribati,2023,,
Estimated number of people (all ages) living with HIV,South-East Asia,Maldives,2023,,
Estimated number of people (all ages) living with HIV,Western Pacific,Marshall Islands,2023,,
Estimated number of people (all ages) living with HIV,Western Pacific,Micronesia (Federated States of),2023,,
Estimated number of people (all ages) living with HIV,Europe,Monaco,2023,,
Estimated number of people (all ages) living with HIV,Western Pacific,Nauru,2023,,
Estimated number of people (all ages) living with HIV,Europe,Netherlands (Kingdom of the),2023,,
Estimated number of people (all ages) living with HIV,Western Pacific,Niue,2023,,
Estimated number of people (all ages) living with HIV,Europe,Norway,2023,,
Estimated number of people (all ages) living with HIV,Western Pacific,Palau,2023,,
Estimated number of people (all ages) living with HIV,Europe,Poland,2023,,
Estimated number of people (all ages) living with HIV,Western Pacific,Republic of Korea,2023,,
Estimated number of people (all ages) living with HIV,Europe,Russian Federation,2023,,
Estimated number of people (all ages) living with HIV,Americas,Saint Kitts and Nevis,2023,,
Estimated number of people (all ages) living with HIV,Americas,Saint Lucia,2023,,
Estimated number of people (all ages) living with HIV,Americas,Saint Vincent and the Grenadines,2023,,
Estimated number of people (all ages) living with HIV,Western Pacific,Samoa,2023,,
Estimated number of people (all ages) living with HIV,Europe,San Marino,2023,,
Estimated number of people (all ages) living with HIV,Africa,Sao Tome and Principe,2023,,
Estimated number of people (all ages) living with HIV,Africa,Seychelles,2023,,
Estimated number of people (all ages) living with HIV,Western Pacific,Solomon Islands,2023,,
Estimated number of people (all ages) living with HIV,Europe,Sweden,2023,,
Estimated number of people (all ages) living with HIV,Europe,Türkiye,2023,,
Estimated number of people (all ages) living with HIV,Western Pacific,Tonga,2023,,
Estimated number of people (all ages) living with HIV,Americas,Trinidad and Tobago,2023,,
Estimated number of people (all ages) living with HIV,Europe,Turkmenistan,2023,,
Estimated number of people (all ages) living with HIV,Western Pacific,Tuvalu,2023,,
Estimated number of people (all ages) living with HIV,Europe,Ukraine,2023,,
Estimated number of people (all ages) living with HIV,Europe,United Kingdom of Great Britain and Northern Ireland,2023,,
Estimated number of people (all ages) living with HIV,Americas,United States of America,2023,,
Estimated number of people (all ages) living with HIV,Western Pacific,Vanuatu,2023,,
Estimated number of people (all ages) living with HIV,Africa,Comoros,2022,,200
Estimated number of people (all ages) living with HIV,Europe,Iceland,2022,,500
Estimated number of people (all ages) living with HIV,Europe,Montenegro,2022,,500
Estimated number of people (all ages) living with HIV,Africa,Zimbabwe,2022,,1300000
Estimated number of people (all ages) living with HIV,Africa,Zambia,2022,,1300000
Estimated number of people (all ages) living with HIV,Africa,Kenya,2022,,1400000
Estimated number of people (all ages) living with HIV,Africa,Uganda,2022,,1500000
Estimated number of people (all ages) living with HIV,Africa,United Republic of Tanzania,2022,,1700000
Estimated number of people (all ages) living with HIV,Americas,Guyana,2022,,10000
Estimated number of people (all ages) living with HIV,Europe,Azerbaijan,2022,,10000
Estimated number of people (all ages) living with HIV,Europe,Kyrgyzstan,2022,,11000
Estimated number of people (all ages) living with HIV,Americas,Nicaragua,2022,,11000
Estimated number of people (all ages) living with HIV,Africa,Togo,2022,,110000
Estimated number of people (all ages) living with HIV,Americas,Peru,2022,,110000
Estimated number of people (all ages) living with HIV,Africa,Chad,2022,,110000
Estimated number of people (all ages) living with HIV,Africa,Mauritius,2022,,12000
Estimated number of people (all ages) living with HIV,Eastern Mediterranean,Afghanistan,2022,,12000
Estimated number of people (all ages) living with HIV,Africa,Mali,2022,,120000
Estimated number of people (all ages) living with HIV,Africa,Guinea,2022,,120000
Estimated number of people (all ages) living with HIV,Africa,Congo,2022,,120000
Estimated number of people (all ages) living with HIV,South-East Asia,Bhutan,2022,,1200
Estimated number of people (all ages) living with HIV,Africa,Eritrea,2022,,13000
Estimated number of people (all ages) living with HIV,Americas,Argentina,2022,,130000
Estimated number of people (all ages) living with HIV,Europe,Tajikistan,2022,,14000
Estimated number of people (all ages) living with HIV,Eastern Mediterranean,Yemen,2022,,14000
Estimated number of people (all ages) living with HIV,Americas,Haiti,2022,,140000
Estimated number of people (all ages) living with HIV,Europe,Italy,2022,,140000
Estimated number of people (all ages) living with HIV,Africa,South Sudan,2022,,140000
Estimated number of people (all ages) living with HIV,Europe,Albania,2022,,1400
Estimated number of people (all ages) living with HIV,Europe,Greece,2022,,15000
Estimated number of people (all ages) living with HIV,Americas,Uruguay,2022,,15000
Estimated number of people (all ages) living with HIV,South-East Asia,Bangladesh,2022,,15000
Estimated number of people (all ages) living with HIV,Europe,Spain,2022,,150000
Estimated number of people (all ages) living with HIV,Europe,Luxembourg,2022,,1500
Estimated number of people (all ages) living with HIV,Europe,Republic of Moldova,2022,,16000
Estimated number of people (all ages) living with HIV,Western Pacific,Philippines,2022,,160000
Estimated number of people (all ages) living with HIV,Eastern Mediterranean,United Arab Emirates,2022,,1600
Estimated number of people (all ages) living with HIV,Europe,Slovakia,2022,,1600
Estimated number of people (all ages) living with HIV,Europe,Switzerland,2022,,17000
Estimated number of people (all ages) living with HIV,South-East Asia,Timor-Leste,2022,,1700
Estimated number of people (all ages) living with HIV,Americas,Costa Rica,2022,,18000
Estimated number of people (all ages) living with HIV,Europe,Romania,2022,,18000
Estimated number of people (all ages) living with HIV,Europe,Croatia,2022,,1800
Estimated number of people (all ages) living with HIV,Western Pacific,Lao People's Democratic Republic,2022,,19000
Estimated number of people (all ages) living with HIV,Africa,Nigeria,2022,,2000000
Estimated number of people (all ages) living with HIV,Africa,Mozambique,2022,,2400000
Estimated number of people (all ages) living with HIV,Americas,Honduras,2022,,20000
Estimated number of people (all ages) living with HIV,Europe,France,2022,,200000
Estimated number of people (all ages) living with HIV,Americas,Paraguay,2022,,21000
Estimated number of people (all ages) living with HIV,Americas,Barbados,2022,,2100
Estimated number of people (all ages) living with HIV,Americas,El Salvador,2022,,22000
Estimated number of people (all ages) living with HIV,Eastern Mediterranean,Morocco,2022,,23000
Estimated number of people (all ages) living with HIV,Americas,Colombia,2022,,230000
Estimated number of people (all ages) living with HIV,Africa,Eswatini,2022,,230000
Estimated number of people (all ages) living with HIV,Africa,Namibia,2022,,230000
Estimated number of people (all ages) living with HIV,Africa,Rwanda,2022,,230000
Estimated number of people (all ages) living with HIV,Western Pacific,Fiji,2022,,2300
Estimated number of people (all ages) living with HIV,Africa,Algeria,2022,,24000
Estimated number of people (all ages) living with HIV,Europe,Netherlands (Kingdom of the),2022,,25000
Estimated number of people (all ages) living with HIV,Western Pacific,Viet Nam,2022,,250000
Estimated number of people (all ages) living with HIV,Americas,Jamaica,2022,,26000
Estimated number of people (all ages) living with HIV,Eastern Mediterranean,Pakistan,2022,,260000
Estimated number of people (all ages) living with HIV,Africa,Gambia,2022,,27000
Estimated number of people (all ages) living with HIV,Europe,Belarus,2022,,27000
Estimated number of people (all ages) living with HIV,Africa,Lesotho,2022,,270000
Estimated number of people (all ages) living with HIV,Eastern Mediterranean,Oman,2022,,2700
Estimated number of people (all ages) living with HIV,South-East Asia,Myanmar,2022,,280000
Estimated number of people (all ages) living with HIV,Eastern Mediterranean,Lebanon,2022,,2800
Estimated number of people (all ages) living with HIV,Western Pacific,Australia,2022,,29000
Estimated number of people (all ages) living with HIV,Americas,Panama,2022,,29000
Estimated number of people (all ages) living with HIV,Eastern Mediterranean,Iraq,2022,,2900
Estimated number of people (all ages) living with HIV,Americas,Bolivia (Plurinational State of),2022,,30000
Estimated number of people (all ages) living with HIV,South-East Asia,Nepal,2022,,30000
Estimated number of people (all ages) living with HIV,Africa,Niger,2022,,31000
Estimated number of people (all ages) living with HIV,Africa,Angola,2022,,320000
Estimated number of people (all ages) living with HIV,Africa,Ghana,2022,,330000
Estimated number of people (all ages) living with HIV,Africa,Liberia,2022,,34000
Estimated number of people (all ages) living with HIV,Americas,Guatemala,2022,,34000
Estimated number of people (all ages) living with HIV,Eastern Mediterranean,Egypt,2022,,35000
Estimated number of people (all ages) living with HIV,Africa,Guinea-Bissau,2022,,35000
Estimated number of people (all ages) living with HIV,Africa,Botswana,2022,,360000
Estimated number of people (all ages) living with HIV,Western Pacific,New Zealand,2022,,3600
Estimated number of people (all ages) living with HIV,Europe,Bulgaria,2022,,3600
Estimated number of people (all ages) living with HIV,Europe,Lithuania,2022,,3600
Estimated number of people (all ages) living with HIV,Americas,Belize,2022,,3600
Estimated number of people (all ages) living with HIV,Americas,Mexico,2022,,370000
Estimated number of people (all ages) living with HIV,Europe,Kazakhstan,2022,,38000
Estimated number of people (all ages) living with HIV,Europe,Serbia,2022,,3800
Estimated number of people (all ages) living with HIV,Africa,Cabo Verde,2022,,3800
Estimated number of people (all ages) living with HIV,Europe,Czechia,2022,,4000
Estimated number of people (all ages) living with HIV,Americas,Bahamas,2022,,4100
Estimated number of people (all ages) living with HIV,Americas,Cuba,2022,,42000
Estimated number of people (all ages) living with HIV,Africa,Senegal,2022,,42000
Estimated number of people (all ages) living with HIV,Eastern Mediterranean,Iran (Islamic Republic of),2022,,43000
Estimated number of people (all ages) living with HIV,Africa,Cote d'Ivoire,2022,,430000
Estimated number of people (all ages) living with HIV,Eastern Mediterranean,Sudan,2022,,46000
Estimated number of people (all ages) living with HIV,Europe,Portugal,2022,,47000
Estimated number of people (all ages) living with HIV,South-East Asia,Sri Lanka,2022,,4700
Estimated number of people (all ages) living with HIV,Americas,Ecuador,2022,,49000
Estimated number of people (all ages) living with HIV,Africa,Democratic Republic of the Congo,2022,,510000
Estimated number of people (all ages) living with HIV,Africa,Gabon,2022,,52000
Estimated number of people (all ages) living with HIV,South-East Asia,Indonesia,2022,,570000
Estimated number of people (all ages) living with HIV,Europe,Bosnia and Herzegovina,2022,,580
Estimated number of people (all ages) living with HIV,South-East Asia,Thailand,2022,,580000
Estimated number of people (all ages) living with HIV,Europe,Uzbekistan,2022,,59000
Estimated number of people (all ages) living with HIV,Europe,Armenia,2022,,5900
Estimated number of people (all ages) living with HIV,Eastern Mediterranean,Jordan,2022,,600
Estimated number of people (all ages) living with HIV,Africa,Ethiopia,2022,,610000
Estimated number of people (all ages) living with HIV,Europe,North Macedonia,2022,,620
Estimated number of people (all ages) living with HIV,Europe,Denmark,2022,,6300
Estimated number of people (all ages) living with HIV,Africa,Mauritania,2022,,6300
Estimated number of people (all ages) living with HIV,Western Pacific,Mongolia,2022,,650
Estimated number of people (all ages) living with HIV,Eastern Mediterranean,Libya,2022,,6600
Estimated number of people (all ages) living with HIV,Africa,Benin,2022,,68000
Estimated number of people (all ages) living with HIV,Eastern Mediterranean,Syrian Arab Republic,2022,,680
Estimated number of people (all ages) living with HIV,Africa,Madagascar,2022,,69000
Estimated number of people (all ages) living with HIV,Europe,Latvia,2022,,6900
Estimated number of people (all ages) living with HIV,Africa,South Africa,2022,,7600000
Estimated number of people (all ages) living with HIV,Western Pacific,Papua New Guinea,2022,,71000
Estimated number of people (all ages) living with HIV,Americas,Suriname,2022,,7200
Estimated number of people (all ages) living with HIV,Eastern Mediterranean,Qatar,2022,,730
Estimated number of people (all ages) living with HIV,Europe,Estonia,2022,,7300
Estimated number of people (all ages) living with HIV,Africa,Sierra Leone,2022,,76000
Estimated number of people (all ages) living with HIV,Western Pacific,Cambodia,2022,,76000
Estimated number of people (all ages) living with HIV,Eastern Mediterranean,Tunisia,2022,,7600
Estimated number of people (all ages) living with HIV,Eastern Mediterranean,Djibouti,2022,,7600
Estimated number of people (all ages) living with HIV,Western Pacific,Singapore,2022,,8000
Estimated number of people (all ages) living with HIV,Europe,Ireland,2022,,8000
Estimated number of people (all ages) living with HIV,Americas,Dominican Republic,2022,,82000
Estimated number of people (all ages) living with HIV,Africa,Burundi,2022,,82000
Estimated number of people (all ages) living with HIV,Western Pacific,Malaysia,2022,,85000
Estimated number of people (all ages) living with HIV,Eastern Mediterranean,Somalia,2022,,8500
Estimated number of people (all ages) living with HIV,Europe,Georgia,2022,,8600
Estimated number of people (all ages) living with HIV,Americas,Chile,2022,,87000
Estimated number of people (all ages) living with HIV,Europe,Malta,2022,,870
Estimated number of people (all ages) living with HIV,Europe,Slovenia,2022,,920
Estimated number of people (all ages) living with HIV,Europe,Israel,2022,,9400
Estimated number of people (all ages) living with HIV,Americas,Venezuela (Bolivarian Republic of),2022,,95000
Estimated number of people (all ages) living with HIV,Eastern Mediterranean,Kuwait,2022,,960
Estimated number of people (all ages) living with HIV,Africa,Burkina Faso,2022,,97000
Estimated number of people (all ages) living with HIV,Americas,Brazil,2022,,970000
Estimated number of people (all ages) living with HIV,Africa,Malawi,2022,,990000
Estimated number of people (all ages) living with HIV,Eastern Mediterranean,Saudi Arabia,2022,,9900
Estimated number of people (all ages) living with HIV,Europe,Andorra,2022,,
Estimated number of people (all ages) living with HIV,Americas,Antigua and Barbuda,2022,,
Estimated number of people (all ages) living with HIV,Europe,Austria,2022,,
Estimated number of people (all ages) living with HIV,Eastern Mediterranean,Bahrain,2022,,
Estimated number of people (all ages) living with HIV,Europe,Belgium,2022,,
Estimated number of people (all ages) living with HIV,Western Pacific,Brunei Darussalam,2022,,
Estimated number of people (all ages) living with HIV,Africa,Cameroon,2022,,
Estimated number of people (all ages) living with HIV,Americas,Canada,2022,,
Estimated number of people (all ages) living with HIV,Africa,Central African Republic,2022,,
Estimated number of people (all ages) living with HIV,Western Pacific,China,2022,,
Estimated number of people (all ages) living with HIV,Western Pacific,Cook Islands,2022,,
Estimated number of people (all ages) living with HIV,Europe,Cyprus,2022,,
Estimated number of people (all ages) living with HIV,South-East Asia,Democratic People's Republic of Korea,2022,,
Estimated number of people (all ages) living with HIV,Americas,Dominica,2022,,
Estimated number of people (all ages) living with HIV,Africa,Equatorial Guinea,2022,,
Estimated number of people (all ages) living with HIV,Europe,Finland,2022,,
Estimated number of people (all ages) living with HIV,Europe,Germany,2022,,
Estimated number of people (all ages) living with HIV,Americas,Grenada,2022,,
Estimated number of people (all ages) living with HIV,Europe,Hungary,2022,,
Estimated number of people (all ages) living with HIV,South-East Asia,India,2022,,
Estimated number of people (all ages) living with HIV,Western Pacific,Japan,2022,,
Estimated number of people (all ages) living with HIV,Western Pacific,Kiribati,2022,,
Estimated number of people (all ages) living with HIV,South-East Asia,Maldives,2022,,
Estimated number of people (all ages) living with HIV,Western Pacific,Marshall Islands,2022,,
Estimated number of people (all ages) living with HIV,Western Pacific,Micronesia (Federated States of),2022,,
Estimated number of people (all ages) living with HIV,Europe,Monaco,2022,,
Estimated number of people (all ages) living with HIV,Western Pacific,Nauru,2022,,
Estimated number of people (all ages) living with HIV,Western Pacific,Niue,2022,,
Estimated number of people (all ages) living with HIV,Europe,Norway,2022,,
Estimated number of people (all ages) living with HIV,Western Pacific,Palau,2022,,
Estimated number of people (all ages) living with HIV,Europe,Poland,2022,,
Estimated number of people (all ages) living with HIV,Western Pacific,Republic of Korea,2022,,
Estimated number of people (all ages) living with HIV,Europe,Russian Federation,2022,,
Estimated number of people (all ages) living with HIV,Americas,Saint Kitts and Nevis,2022,,
Estimated number of people (all ages) living with HIV,Americas,Saint Lucia,2022,,
Estimated number of people (all ages) living with HIV,Americas,Saint Vincent and the Grenadines,2022,,
Estimated number of people (all ages) living with HIV,Western Pacific,Samoa,2022,,
Estimated number of people (all ages) living with HIV,Europe,San Marino,2022,,
Estimated number of people (all ages) living with HIV,Africa,Sao Tome and Principe,2022,,
Estimated number of people (all ages) living with HIV,Africa,Seychelles,2022,,
Estimated number of people (all ages) living with HIV,Western Pacific,Solomon Islands,2022,,
Estimated number of people (all ages) living with HIV,Europe,Sweden,2022,,
Estimated number of people (all ages) living with HIV,Europe,Türkiye,2022,,
Estimated number of people (all ages) living with HIV,Western Pacific,Tonga,2022,,
Estimated number of people (all ages) living with HIV,Americas,Trinidad and Tobago,2022,,
Estimated number of people (all ages) living with HIV,Europe,Turkmenistan,2022,,
Estimated number of people (all ages) living with HIV,Western Pacific,Tuvalu,2022,,
Estimated number of people (all ages) living with HIV,Europe,Ukraine,2022,,
