indicator,parentlocation,location,period,dim1,factvaluenumeric
Estimated number of children needing antiretroviral therapy based on WHO methods,Africa,Burundi,2023,,4000
Estimated number of children needing antiretroviral therapy based on WHO methods,Americas,Venezuela (Bolivarian Republic of),2023,,4200
Estimated number of children needing antiretroviral therapy based on WHO methods,Western Pacific,Papua New Guinea,2023,,4500
Estimated number of children needing antiretroviral therapy based on WHO methods,Eastern Mediterranean,Sudan,2023,,4600
Estimated number of children needing antiretroviral therapy based on WHO methods,Africa,Democratic Republic of the Congo,2023,,50000
Estimated number of children needing antiretroviral therapy based on WHO methods,Africa,Malawi,2023,,50000
Estimated number of children needing antiretroviral therapy based on WHO methods,Africa,Botswana,2023,,5100
Estimated number of children needing antiretroviral therapy based on WHO methods,Africa,Eswatini,2023,,5600
Estimated number of children needing antiretroviral therapy based on WHO methods,Africa,Zambia,2023,,58000
Estimated number of children needing antiretroviral therapy based on WHO methods,South-East Asia,India,2023,,61000
Estimated number of children needing antiretroviral therapy based on WHO methods,Western Pacific,Lao People's Democratic Republic,2023,,610
Estimated number of children needing antiretroviral therapy based on WHO methods,Africa,Sierra Leone,2023,,6200
Estimated number of children needing antiretroviral therapy based on WHO methods,Africa,Togo,2023,,6200
Estimated number of children needing antiretroviral therapy based on WHO methods,Africa,Lesotho,2023,,6400
Estimated number of children needing antiretroviral therapy based on WHO methods,Americas,Haiti,2023,,6400
Estimated number of children needing antiretroviral therapy based on WHO methods,Americas,Honduras,2023,,650
Estimated number of children needing antiretroviral therapy based on WHO methods,Africa,Benin,2023,,6600
Estimated number of children needing antiretroviral therapy based on WHO methods,Africa,United Republic of Tanzania,2023,,68000
Estimated number of children needing antiretroviral therapy based on WHO methods,Africa,Rwanda,2023,,6800
Estimated number of children needing antiretroviral therapy based on WHO methods,Africa,Zimbabwe,2023,,70000
Estimated number of children needing antiretroviral therapy based on WHO methods,Americas,Bolivia (Plurinational State of),2023,,710
Estimated number of children needing antiretroviral therapy based on WHO methods,Africa,Uganda,2023,,72000
Estimated number of children needing antiretroviral therapy based on WHO methods,Africa,Kenya,2023,,75000
Estimated number of children needing antiretroviral therapy based on WHO methods,Europe,Tajikistan,2023,,820
Estimated number of children needing antiretroviral therapy based on WHO methods,Eastern Mediterranean,Pakistan,2023,,8300
Estimated number of children needing antiretroviral therapy based on WHO methods,South-East Asia,Myanmar,2023,,8500
Estimated number of children needing antiretroviral therapy based on WHO methods,Eastern Mediterranean,Morocco,2023,,870
Estimated number of children needing antiretroviral therapy based on WHO methods,Eastern Mediterranean,Iran (Islamic Republic of),2023,,910
Estimated number of children needing antiretroviral therapy based on WHO methods,Eastern Mediterranean,Egypt,2023,,910
Estimated number of children needing antiretroviral therapy based on WHO methods,Eastern Mediterranean,Yemen,2023,,930
Estimated number of children needing antiretroviral therapy based on WHO methods,Africa,Burkina Faso,2023,,9500
Estimated number of children needing antiretroviral therapy based on WHO methods,Europe,Albania,2023,,
Estimated number of children needing antiretroviral therapy based on WHO methods,Europe,Andorra,2023,,
Estimated number of children needing antiretroviral therapy based on WHO methods,Americas,Antigua and Barbuda,2023,,
Estimated number of children needing antiretroviral therapy based on WHO methods,Americas,Argentina,2023,,
Estimated number of children needing antiretroviral therapy based on WHO methods,Western Pacific,Australia,2023,,
Estimated number of children needing antiretroviral therapy based on WHO methods,Europe,Austria,2023,,
Estimated number of children needing antiretroviral therapy based on WHO methods,Americas,Bahamas,2023,,
Estimated number of children needing antiretroviral therapy based on WHO methods,Eastern Mediterranean,Bahrain,2023,,
Estimated number of children needing antiretroviral therapy based on WHO methods,Americas,Barbados,2023,,
Estimated number of children needing antiretroviral therapy based on WHO methods,Europe,Belarus,2023,,
Estimated number of children needing antiretroviral therapy based on WHO methods,Europe,Belgium,2023,,
Estimated number of children needing antiretroviral therapy based on WHO methods,South-East Asia,Bhutan,2023,,
Estimated number of children needing antiretroviral therapy based on WHO methods,Europe,Bosnia and Herzegovina,2023,,
Estimated number of children needing antiretroviral therapy based on WHO methods,Americas,Brazil,2023,,
Estimated number of children needing antiretroviral therapy based on WHO methods,Western Pacific,Brunei Darussalam,2023,,
Estimated number of children needing antiretroviral therapy based on WHO methods,Europe,Bulgaria,2023,,
Estimated number of children needing antiretroviral therapy based on WHO methods,Africa,Cameroon,2023,,
Estimated number of children needing antiretroviral therapy based on WHO methods,Americas,Canada,2023,,
Estimated number of children needing antiretroviral therapy based on WHO methods,Africa,Central African Republic,2023,,
Estimated number of children needing antiretroviral therapy based on WHO methods,Western Pacific,China,2023,,
Estimated number of children needing antiretroviral therapy based on WHO methods,Americas,Colombia,2023,,
Estimated number of children needing antiretroviral therapy based on WHO methods,Africa,Comoros,2023,,
Estimated number of children needing antiretroviral therapy based on WHO methods,Western Pacific,Cook Islands,2023,,
Estimated number of children needing antiretroviral therapy based on WHO methods,Europe,Croatia,2023,,
Estimated number of children needing antiretroviral therapy based on WHO methods,Europe,Cyprus,2023,,
Estimated number of children needing antiretroviral therapy based on WHO methods,Europe,Czechia,2023,,
Estimated number of children needing antiretroviral therapy based on WHO methods,South-East Asia,Democratic People's Republic of Korea,2023,,
Estimated number of children needing antiretroviral therapy based on WHO methods,Europe,Denmark,2023,,
Estimated number of children needing antiretroviral therapy based on WHO methods,Americas,Dominica,2023,,
Estimated number of children needing antiretroviral therapy based on WHO methods,Africa,Equatorial Guinea,2023,,
Estimated number of children needing antiretroviral therapy based on WHO methods,Europe,Estonia,2023,,
Estimated number of children needing antiretroviral therapy based on WHO methods,Europe,Finland,2023,,
Estimated number of children needing antiretroviral therapy based on WHO methods,Europe,France,2023,,
Estimated number of children needing antiretroviral therapy based on WHO methods,Europe,Germany,2023,,
Estimated number of children needing antiretroviral therapy based on WHO methods,Europe,Greece,2023,,
Estimated number of children needing antiretroviral therapy based on WHO methods,Americas,Grenada,2023,,
Estimated number of children needing antiretroviral therapy based on WHO methods,Europe,Hungary,2023,,
Estimated number of children needing antiretroviral therapy based on WHO methods,Europe,Iceland,2023,,
Estimated number of children needing antiretroviral therapy based on WHO methods,Eastern Mediterranean,Iraq,2023,,
Estimated number of children needing antiretroviral therapy based on WHO methods,Europe,Ireland,2023,,
Estimated number of children needing antiretroviral therapy based on WHO methods,Europe,Israel,2023,,
Estimated number of children needing antiretroviral therapy based on WHO methods,Europe,Italy,2023,,
Estimated number of children needing antiretroviral therapy based on WHO methods,Western Pacific,Japan,2023,,
Estimated number of children needing antiretroviral therapy based on WHO methods,Eastern Mediterranean,Jordan,2023,,
Estimated number of children needing antiretroviral therapy based on WHO methods,Western Pacific,Kiribati,2023,,
Estimated number of children needing antiretroviral therapy based on WHO methods,Eastern Mediterranean,Kuwait,2023,,
Estimated number of children needing antiretroviral therapy based on WHO methods,Europe,Latvia,2023,,
Estimated number of children needing antiretroviral therapy based on WHO methods,Eastern Mediterranean,Lebanon,2023,,
Estimated number of children needing antiretroviral therapy based on WHO methods,Europe,Lithuania,2023,,
Estimated number of children needing antiretroviral therapy based on WHO methods,Europe,Luxembourg,2023,,
Estimated number of children needing antiretroviral therapy based on WHO methods,South-East Asia,Maldives,2023,,
Estimated number of children needing antiretroviral therapy based on WHO methods,Europe,Malta,2023,,
Estimated number of children needing antiretroviral therapy based on WHO methods,Western Pacific,Marshall Islands,2023,,
Estimated number of children needing antiretroviral therapy based on WHO methods,Western Pacific,Micronesia (Federated States of),2023,,
Estimated number of children needing antiretroviral therapy based on WHO methods,Europe,Monaco,2023,,
Estimated number of children needing antiretroviral therapy based on WHO methods,Western Pacific,Mongolia,2023,,
Estimated number of children needing antiretroviral therapy based on WHO methods,Europe,Montenegro,2023,,
Estimated number of children needing antiretroviral therapy based on WHO methods,Africa,Namibia,2023,,
Estimated number of children needing antiretroviral therapy based on WHO methods,Western Pacific,Nauru,2023,,
Estimated number of children needing antiretroviral therapy based on WHO methods,Europe,Netherlands (Kingdom of the),2023,,
Estimated number of children needing antiretroviral therapy based on WHO methods,Western Pacific,New Zealand,2023,,
Estimated number of children needing antiretroviral therapy based on WHO methods,Western Pacific,Niue,2023,,
Estimated number of children needing antiretroviral therapy based on WHO methods,Europe,North Macedonia,2023,,
Estimated number of children needing antiretroviral therapy based on WHO methods,Europe,Norway,2023,,
Estimated number of children needing antiretroviral therapy based on WHO methods,Eastern Mediterranean,Oman,2023,,
Estimated number of children needing antiretroviral therapy based on WHO methods,Western Pacific,Palau,2023,,
Estimated number of children needing antiretroviral therapy based on WHO methods,Americas,Peru,2023,,
Estimated number of children needing antiretroviral therapy based on WHO methods,Europe,Poland,2023,,
Estimated number of children needing antiretroviral therapy based on WHO methods,Europe,Portugal,2023,,
Estimated number of children needing antiretroviral therapy based on WHO methods,Eastern Mediterranean,Qatar,2023,,
Estimated number of children needing antiretroviral therapy based on WHO methods,Western Pacific,Republic of Korea,2023,,
Estimated number of children needing antiretroviral therapy based on WHO methods,Europe,Romania,2023,,
Estimated number of children needing antiretroviral therapy based on WHO methods,Europe,Russian Federation,2023,,
Estimated number of children needing antiretroviral therapy based on WHO methods,Americas,Saint Kitts and Nevis,2023,,
Estimated number of children needing antiretroviral therapy based on WHO methods,Americas,Saint Lucia,2023,,
Estimated number of children needing antiretroviral therapy based on WHO methods,Americas,Saint Vincent and the Grenadines,2023,,
Estimated number of children needing antiretroviral therapy based on WHO methods,Western Pacific,Samoa,2023,,
Estimated number of children needing antiretroviral therapy based on WHO methods,Europe,San Marino,2023,,
Estimated number of children needing antiretroviral therapy based on WHO methods,Africa,Sao Tome and Principe,2023,,
Estimated number of children needing antiretroviral therapy based on WHO methods,Eastern Mediterranean,Saudi Arabia,2023,,
Estimated number of children needing antiretroviral therapy based on WHO methods,Europe,Serbia,2023,,
Estimated number of children needing antiretroviral therapy based on WHO methods,Africa,Seychelles,2023,,
Estimated number of children needing antiretroviral therapy based on WHO methods,Western Pacific,Singapore,2023,,
Estimated number of children needing antiretroviral therapy based on WHO methods,Europe,Slovakia,2023,,
Estimated number of children needing antiretroviral therapy based on WHO methods,Europe,Slovenia,2023,,
Estimated number of children needing antiretroviral therapy based on WHO methods,Western Pacific,Solomon Islands,2023,,
Estimated number of children needing antiretroviral therapy based on WHO methods,Europe,Spain,2023,,
Estimated number of children needing antiretroviral therapy based on WHO methods,South-East Asia,Sri Lanka,2023,,
Estimated number of children needing antiretroviral therapy based on WHO methods,Europe,Sweden,2023,,
Estimated number of children needing antiretroviral therapy based on WHO methods,Europe,Switzerland,2023,,
Estimated number of children needing antiretroviral therapy based on WHO methods,Eastern Mediterranean,Syrian Arab Republic,2023,,
Estimated number of children needing antiretroviral therapy based on WHO methods,Europe,Türkiye,2023,,
Estimated number of children needing antiretroviral therapy based on WHO methods,South-East Asia,Timor-Leste,2023,,
Estimated number of children needing antiretroviral therapy based on WHO methods,Western Pacific,Tonga,2023,,
Estimated number of children needing antiretroviral therapy based on WHO methods,Americas,Trinidad and Tobago,2023,,
Estimated number of children needing antiretroviral therapy based on WHO methods,Europe,Turkmenistan,2023,,
Estimated number of children needing antiretroviral therapy based on WHO methods,Western Pacific,Tuvalu,2023,,
Estimated number of children needing antiretroviral therapy based on WHO methods,Europe,Ukraine,2023,,
Estimated number of children needing antiretroviral therapy based on WHO methods,Eastern Mediterranean,United Arab Emirates,2023,,
Estimated number of children needing antiretroviral therapy based on WHO methods,Europe,United Kingdom of Great Britain and Northern Ireland,2023,,
Estimated number of children needing antiretroviral therapy based on WHO methods,Americas,United States of America,2023,,
Estimated number of children needing antiretroviral therapy based on WHO methods,Western Pacific,Vanuatu,2023,,
Estimated number of children needing antiretroviral therapy based on WHO methods,Europe,Armenia,2022,,100
Estimated number of children needing antiretroviral therapy based on WHO methods,Americas,Belize,2022,,100
Estimated number of children needing antiretroviral therapy based on WHO methods,Africa,Cabo Verde,2022,,100
Estimated number of children needing antiretroviral therapy based on WHO methods,Europe,Georgia,2022,,100
Estimated number of children needing antiretroviral therapy based on WHO methods,Africa,Mauritius,2022,,100
Estimated number of children needing antiretroviral therapy based on WHO methods,Western Pacific,Fiji,2022,,100
Estimated number of children needing antiretroviral therapy based on WHO methods,Europe,Azerbaijan,2022,,200
Estimated number of children needing antiretroviral therapy based on WHO methods,Americas,Costa Rica,2022,,200
Estimated number of children needing antiretroviral therapy based on WHO methods,Americas,Cuba,2022,,200
Estimated number of children needing antiretroviral therapy based on WHO methods,Eastern Mediterranean,Libya,2022,,200
Estimated number of children needing antiretroviral therapy based on WHO methods,Americas,Suriname,2022,,200
Estimated number of children needing antiretroviral therapy based on WHO methods,Americas,Chile,2022,,200
Estimated number of children needing antiretroviral therapy based on WHO methods,Eastern Mediterranean,Tunisia,2022,,200
Estimated number of children needing antiretroviral therapy based on WHO methods,Western Pacific,Malaysia,2022,,500
Estimated number of children needing antiretroviral therapy based on WHO methods,Americas,Nicaragua,2022,,500
Estimated number of children needing antiretroviral therapy based on WHO methods,Europe,Republic of Moldova,2022,,500
Estimated number of children needing antiretroviral therapy based on WHO methods,Americas,Uruguay,2022,,500
Estimated number of children needing antiretroviral therapy based on WHO methods,Eastern Mediterranean,Afghanistan,2022,,500
Estimated number of children needing antiretroviral therapy based on WHO methods,South-East Asia,Bangladesh,2022,,500
Estimated number of children needing antiretroviral therapy based on WHO methods,Americas,El Salvador,2022,,500
Estimated number of children needing antiretroviral therapy based on WHO methods,Americas,Jamaica,2022,,500
Estimated number of children needing antiretroviral therapy based on WHO methods,Europe,Kyrgyzstan,2022,,500
Estimated number of children needing antiretroviral therapy based on WHO methods,Americas,Panama,2022,,500
Estimated number of children needing antiretroviral therapy based on WHO methods,Americas,Paraguay,2022,,500
Estimated number of children needing antiretroviral therapy based on WHO methods,Africa,Mauritania,2022,,500
Estimated number of children needing antiretroviral therapy based on WHO methods,Europe,Kazakhstan,2022,,500
Estimated number of children needing antiretroviral therapy based on WHO methods,Americas,Guyana,2022,,500
Estimated number of children needing antiretroviral therapy based on WHO methods,Eastern Mediterranean,Djibouti,2022,,500
Estimated number of children needing antiretroviral therapy based on WHO methods,Africa,Burkina Faso,2022,,10000
Estimated number of children needing antiretroviral therapy based on WHO methods,Africa,Congo,2022,,10000
Estimated number of children needing antiretroviral therapy based on WHO methods,Western Pacific,Philippines,2022,,1000
Estimated number of children needing antiretroviral therapy based on WHO methods,Americas,Ecuador,2022,,1000
Estimated number of children needing antiretroviral therapy based on WHO methods,Africa,Guinea,2022,,11000
Estimated number of children needing antiretroviral therapy based on WHO methods,Eastern Mediterranean,Somalia,2022,,1100
Estimated number of children needing antiretroviral therapy based on WHO methods,Africa,Mali,2022,,12000
Estimated number of children needing antiretroviral therapy based on WHO methods,South-East Asia,Nepal,2022,,1200
Estimated number of children needing antiretroviral therapy based on WHO methods,Africa,Algeria,2022,,1200
Estimated number of children needing antiretroviral therapy based on WHO methods,Africa,South Sudan,2022,,13000
Estimated number of children needing antiretroviral therapy based on WHO methods,Africa,Chad,2022,,13000
Estimated number of children needing antiretroviral therapy based on WHO methods,Africa,Mozambique,2022,,150000
Estimated number of children needing antiretroviral therapy based on WHO methods,Africa,Nigeria,2022,,160000
Estimated number of children needing antiretroviral therapy based on WHO methods,South-East Asia,Indonesia,2022,,17000
Estimated number of children needing antiretroviral therapy based on WHO methods,Africa,South Africa,2022,,180000
Estimated number of children needing antiretroviral therapy based on WHO methods,Africa,Cote d'Ivoire,2022,,19000
Estimated number of children needing antiretroviral therapy based on WHO methods,Africa,Ghana,2022,,19000
Estimated number of children needing antiretroviral therapy based on WHO methods,Americas,Guatemala,2022,,1900
Estimated number of children needing antiretroviral therapy based on WHO methods,Africa,Gambia,2022,,2000
Estimated number of children needing antiretroviral therapy based on WHO methods,Western Pacific,Cambodia,2022,,2100
Estimated number of children needing antiretroviral therapy based on WHO methods,Africa,Senegal,2022,,2300
Estimated number of children needing antiretroviral therapy based on WHO methods,Africa,Guinea-Bissau,2022,,2400
Estimated number of children needing antiretroviral therapy based on WHO methods,South-East Asia,Thailand,2022,,2400
Estimated number of children needing antiretroviral therapy based on WHO methods,Africa,Gabon,2022,,2500
Estimated number of children needing antiretroviral therapy based on WHO methods,Africa,Ethiopia,2022,,30000
Estimated number of children needing antiretroviral therapy based on WHO methods,Americas,Dominican Republic,2022,,3000
Estimated number of children needing antiretroviral therapy based on WHO methods,Africa,Liberia,2022,,3000
Estimated number of children needing antiretroviral therapy based on WHO methods,Americas,Mexico,2022,,3200
Estimated number of children needing antiretroviral therapy based on WHO methods,Africa,Niger,2022,,3200
Estimated number of children needing antiretroviral therapy based on WHO methods,Africa,Angola,2022,,33000
Estimated number of children needing antiretroviral therapy based on WHO methods,Africa,Madagascar,2022,,3500
Estimated number of children needing antiretroviral therapy based on WHO methods,Europe,Uzbekistan,2022,,3900
Estimated number of children needing antiretroviral therapy based on WHO methods,Western Pacific,Viet Nam,2022,,4200
Estimated number of children needing antiretroviral therapy based on WHO methods,Africa,Burundi,2022,,4300
Estimated number of children needing antiretroviral therapy based on WHO methods,Western Pacific,Papua New Guinea,2022,,4300
Estimated number of children needing antiretroviral therapy based on WHO methods,Eastern Mediterranean,Sudan,2022,,4400
Estimated number of children needing antiretroviral therapy based on WHO methods,Americas,Venezuela (Bolivarian Republic of),2022,,4400
Estimated number of children needing antiretroviral therapy based on WHO methods,Africa,Democratic Republic of the Congo,2022,,51000
Estimated number of children needing antiretroviral therapy based on WHO methods,Africa,Eritrea,2022,,510
Estimated number of children needing antiretroviral therapy based on WHO methods,Africa,Malawi,2022,,56000
Estimated number of children needing antiretroviral therapy based on WHO methods,Africa,Botswana,2022,,5800
Estimated number of children needing antiretroviral therapy based on WHO methods,Africa,Zambia,2022,,61000
Estimated number of children needing antiretroviral therapy based on WHO methods,Western Pacific,Lao People's Democratic Republic,2022,,620
Estimated number of children needing antiretroviral therapy based on WHO methods,Africa,Eswatini,2022,,6300
Estimated number of children needing antiretroviral therapy based on WHO methods,Americas,Haiti,2022,,6300
Estimated number of children needing antiretroviral therapy based on WHO methods,Africa,Sierra Leone,2022,,6400
Estimated number of children needing antiretroviral therapy based on WHO methods,Africa,Togo,2022,,6800
Estimated number of children needing antiretroviral therapy based on WHO methods,Africa,Benin,2022,,7000
Estimated number of children needing antiretroviral therapy based on WHO methods,Africa,United Republic of Tanzania,2022,,72000
Estimated number of children needing antiretroviral therapy based on WHO methods,Americas,Bolivia (Plurinational State of),2022,,730
Estimated number of children needing antiretroviral therapy based on WHO methods,Americas,Honduras,2022,,740
Estimated number of children needing antiretroviral therapy based on WHO methods,Africa,Lesotho,2022,,7500
Estimated number of children needing antiretroviral therapy based on WHO methods,Eastern Mediterranean,Pakistan,2022,,7500
Estimated number of children needing antiretroviral therapy based on WHO methods,Africa,Rwanda,2022,,7600
Estimated number of children needing antiretroviral therapy based on WHO methods,Africa,Zimbabwe,2022,,77000
Estimated number of children needing antiretroviral therapy based on WHO methods,Africa,Uganda,2022,,78000
Estimated number of children needing antiretroviral therapy based on WHO methods,Eastern Mediterranean,Egypt,2022,,790
Estimated number of children needing antiretroviral therapy based on WHO methods,Africa,Kenya,2022,,82000
Estimated number of children needing antiretroviral therapy based on WHO methods,Europe,Tajikistan,2022,,880
Estimated number of children needing antiretroviral therapy based on WHO methods,South-East Asia,Myanmar,2022,,8800
Estimated number of children needing antiretroviral therapy based on WHO methods,Eastern Mediterranean,Yemen,2022,,900
Estimated number of children needing antiretroviral therapy based on WHO methods,Eastern Mediterranean,Morocco,2022,,900
Estimated number of children needing antiretroviral therapy based on WHO methods,Eastern Mediterranean,Iran (Islamic Republic of),2022,,910
Estimated number of children needing antiretroviral therapy based on WHO methods,Europe,Albania,2022,,
Estimated number of children needing antiretroviral therapy based on WHO methods,Europe,Andorra,2022,,
Estimated number of children needing antiretroviral therapy based on WHO methods,Americas,Antigua and Barbuda,2022,,
Estimated number of children needing antiretroviral therapy based on WHO methods,Americas,Argentina,2022,,
Estimated number of children needing antiretroviral therapy based on WHO methods,Western Pacific,Australia,2022,,
Estimated number of children needing antiretroviral therapy based on WHO methods,Europe,Austria,2022,,
Estimated number of children needing antiretroviral therapy based on WHO methods,Americas,Bahamas,2022,,
Estimated number of children needing antiretroviral therapy based on WHO methods,Eastern Mediterranean,Bahrain,2022,,
Estimated number of children needing antiretroviral therapy based on WHO methods,Americas,Barbados,2022,,
Estimated number of children needing antiretroviral therapy based on WHO methods,Europe,Belarus,2022,,
Estimated number of children needing antiretroviral therapy based on WHO methods,Europe,Belgium,2022,,
Estimated number of children needing antiretroviral therapy based on WHO methods,South-East Asia,Bhutan,2022,,
Estimated number of children needing antiretroviral therapy based on WHO methods,Europe,Bosnia and Herzegovina,2022,,
Estimated number of children needing antiretroviral therapy based on WHO methods,Americas,Brazil,2022,,
Estimated number of children needing antiretroviral therapy based on WHO methods,Western Pacific,Brunei Darussalam,2022,,
Estimated number of children needing antiretroviral therapy based on WHO methods,Europe,Bulgaria,2022,,
Estimated number of children needing antiretroviral therapy based on WHO methods,Africa,Cameroon,2022,,
Estimated number of children needing antiretroviral therapy based on WHO methods,Americas,Canada,2022,,
Estimated number of children needing antiretroviral therapy based on WHO methods,Africa,Central African Republic,2022,,
Estimated number of children needing antiretroviral therapy based on WHO methods,Western Pacific,China,2022,,
Estimated number of children needing antiretroviral therapy based on WHO methods,Americas,Colombia,2022,,
Estimated number of children needing antiretroviral therapy based on WHO methods,Africa,Comoros,2022,,
Estimated number of children needing antiretroviral therapy based on WHO methods,Western Pacific,Cook Islands,2022,,
Estimated number of children needing antiretroviral therapy based on WHO methods,Europe,Croatia,2022,,
Estimated number of children needing antiretroviral therapy based on WHO methods,Europe,Cyprus,2022,,
Estimated number of children needing antiretroviral therapy based on WHO methods,Europe,Czechia,2022,,
Estimated number of children needing antiretroviral therapy based on WHO methods,South-East Asia,Democratic People's Republic of Korea,2022,,
Estimated number of children needing antiretroviral therapy based on WHO methods,Europe,Denmark,2022,,
Estimated number of children needing antiretroviral therapy based on WHO methods,Americas,Dominica,2022,,
Estimated number of children needing antiretroviral therapy based on WHO methods,Africa,Equatorial Guinea,2022,,
Estimated number of children needing antiretroviral therapy based on WHO methods,Europe,Estonia,2022,,
Estimated number of children needing antiretroviral therapy based on WHO methods,Europe,Finland,2022,,
Estimated number of children needing antiretroviral therapy based on WHO methods,Europe,France,2022,,
Estimated number of children needing antiretroviral therapy based on WHO methods,Europe,Germany,2022,,
Estimated number of children needing antiretroviral therapy based on WHO methods,Europe,Greece,2022,,
